rank,file_name,page_count,has_tables,keyword_score,semantic_score,cosine_sim,skills_score,experience_score,resume_years,formatting_score,ats_score,grade,matched_keywords,matched_skills,missing_skills,word_count
15,30223363.pdf,2,False,11.5,9.6,0.3201,2.0,15.0,12.0,5,43.1,Needs Work,23,2,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'matlab', 'labview', 'spice']",1433
16,13405733.pdf,2,False,10.0,11.08,0.3693,2.0,15.0,14.0,5,43.08,Needs Work,20,2,"['pcb', 'rf', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",791
17,28126340.pdf,2,False,11.0,11.01,0.3669,1.0,15.0,9.0,5,43.01,Needs Work,22,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1255
18,51363762.pdf,3,False,11.5,11.41,0.3804,0.0,15.0,97.0,5,42.91,Needs Work,23,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1047
19,20879311.pdf,2,False,12.5,9.1,0.3034,1.0,15.0,15.0,5,42.6,Needs Work,25,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1025
20,11957080.pdf,2,False,10.0,10.52,0.3507,2.0,15.0,26.0,5,42.52,Needs Work,20,2,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'matlab', 'labview', 'spice']",1234
21,89413122.pdf,2,False,9.5,12.01,0.4002,1.0,15.0,16.0,5,42.51,Needs Work,19,1,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'matlab', 'labview', 'spice']",614
22,18159866.pdf,3,False,12.0,10.29,0.343,0.0,15.0,22.0,5,42.29,Needs Work,24,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1348
23,21780877.pdf,2,False,9.0,13.27,0.4423,0.0,15.0,47.0,5,42.27,Needs Work,18,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",802
24,79541391.pdf,2,False,8.5,12.75,0.4249,1.0,15.0,15.0,5,42.25,Needs Work,17,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1765
25,37242217.pdf,2,False,10.0,11.23,0.3742,1.0,15.0,10.0,5,42.23,Needs Work,20,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",919
26,20001721.pdf,2,False,8.0,13.14,0.4381,1.0,15.0,12.0,5,42.14,Needs Work,16,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",463
27,24913648.pdf,2,False,9.0,13.1,0.4368,0.0,15.0,14.0,5,42.1,Needs Work,18,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",902
28,52246737.pdf,2,False,8.5,13.54,0.4514,0.0,15.0,13.0,5,42.04,Needs Work,17,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",957
29,18301617.pdf,2,False,9.5,11.54,0.3846,1.0,15.0,26.0,5,42.04,Needs Work,19,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",655
30,90867631.pdf,3,False,11.5,9.41,0.3136,1.0,15.0,14.0,5,41.91,Needs Work,23,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1639
31,10840430.pdf,2,False,8.0,13.86,0.462,0.0,15.0,12.0,5,41.86,Needs Work,16,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",911
32,51639418.pdf,2,False,8.0,12.54,0.4181,1.0,15.0,16.0,5,41.54,Needs Work,16,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",655
